MACAddress,phoneDN,modelNumber,versionID,hardwareRevision,serialNumber,DHCPEnabled,DHCPServer,IPAddress,SubNetMask,DefaultRouter,DNSServer1,DNSServer2,DNSServer3,DomainName,AltTFTP,TFTPServer1TFTPServer2,CallManager1,CallManager2,CallManager3,CallManager4,CallManager5VLANId,AdminVLANId,CDPNeighborDeviceId,CDPNeighborIP,CDPNeighborPort,LLDPNeighborDeviceId,LLDPNeighborIP,LLDPNeighborPort,PortSpeed
B07D47D371E6,1015972656,CP-8851,sip88xx.11-0-1-11,V01,FCH1925980T,Yes,10.202.3.17,10.208.80.101,255.255.255.0,10.208.80.1,10.202.3.17,10.119.3.17,,biz.es.svm.com,No,,abscuccmsub01.voice.es.svm.com  Active,abscuccmsub02.voice.es.svm.com  Standby,bbscuccmsub03.voice.es.svm.com,,,,MEM723-A01-AS01-SE.net.svm.com,10.207.80.4,GigabitEthernet2/0/24,,,,"Full, 1000"
B07D47D372B2,1015977927,CP-8851,sip88xx.12-1-1SR1-4,V01,FCH1925983T,Yes,10.202.3.17,10.208.80.123,255.255.255.0,10.208.80.1,10.202.3.17,10.119.3.17,,biz.es.svm.com,No,,abscuccmsub01.voice.es.svm.com  Active,abscuccmsub02.voice.es.svm.com  Standby,bbscuccmsub03.voice.es.svm.com,,,,MEM723-A01-AS01-SE.net.svm.com,10.207.80.4,GigabitEthernet4/0/25,,,,"Full, 1000"
B07D47D36ADE,1015971264,CP-8851,sip88xx.12-1-1SR1-4,V01,FCH1925978B,Yes,10.202.3.17,10.208.80.117,255.255.255.0,10.208.80.1,10.202.3.17,10.119.3.17,,biz.es.svm.com,No,,abscuccmsub01.voice.es.svm.com  Active,abscuccmsub02.voice.es.svm.com  Standby,bbscuccmsub03.voice.es.svm.com,,,,MEM723-A01-AS01-SE.net.svm.com,10.207.80.4,GigabitEthernet3/0/35,,,,"Full, 1000"
B07D47D36DF4,1015977080,CP-8851,sip88xx.12-1-1SR1-4,V01,FCH192597KY,Yes,10.202.3.17,10.208.80.112,255.255.255.0,10.208.80.1,10.202.3.17,10.119.3.17,,biz.es.svm.com,No,,abscuccmsub01.voice.es.svm.com  Active,abscuccmsub02.voice.es.svm.com  Standby,bbscuccmsub03.voice.es.svm.com,,,,MEM723-A01-AS01-SE.net.svm.com,10.207.80.4,GigabitEthernet4/0/35,,,,"Full, 1000"
B07D47D388C2,1015974354,CP-8851,sip88xx.11-0-1-11,V01,FCH19259TTZ,Yes,10.202.3.17,10.208.79.230,255.255.255.0,10.208.79.1,10.202.3.17,10.119.3.17,,biz.es.svm.com,No,,abscuccmsub01.voice.es.svm.com  Active,abscuccmsub02.voice.es.svm.com  Standby,bbscuccmsub03.voice.es.svm.com,,,,MEM712-B01-AS02-N.net.svm.com,10.207.79.4,GigabitEthernet1/0/11,,,,"Full, 1000"
B07D47D361AE,1015978252,CP-8851,sip88xx.12-1-1SR1-4,V01,FCH1925967R,Yes,10.202.3.17,10.208.78.204,255.255.255.0,10.208.78.1,10.202.3.17,10.119.3.17,,biz.es.svm.com,No,,abscuccmsub01.voice.es.svm.com  Active,abscuccmsub02.voice.es.svm.com  Standby,bbscuccmsub03.voice.es.svm.com,,,,MEM712-A01-AS01-N.net.svm.com,10.207.78.4,GigabitEthernet3/0/42,,,,"Full, 1000"
B07D47D2A9F0,1015971408,CP-8851,sip88xx.12-1-1SR1-4,V01,FCH1924903K,Yes,10.202.3.17,10.208.78.219,255.255.255.0,10.208.78.1,10.202.3.17,10.119.3.17,,biz.es.svm.com,No,,abscuccmsub01.voice.es.svm.com  Active,abscuccmsub02.voice.es.svm.com  Standby,bbscuccmsub03.voice.es.svm.com,,,,MEM712-A01-AS01-N.net.svm.com,10.207.78.4,GigabitEthernet4/0/28,,,,"Full, 1000"
B07D47D31BC0,1015977962,CP-8851,sip88xx.12-1-1SR1-4,V01,FCH19249HV7,Yes,10.202.3.17,10.208.80.215,255.255.255.0,10.208.80.1,10.202.3.17,10.119.3.17,,biz.es.svm.com,No,,abscuccmsub01.voice.es.svm.com  Active,abscuccmsub02.voice.es.svm.com  Standby,bbscuccmsub03.voice.es.svm.com,,,,MEM723-A01-AS01-SE.net.svm.com,10.207.80.4,GigabitEthernet3/0/17,,,,"Full, 1000"
B07D47D3248A,1015978505,CP-8851,sip88xx.12-1-1SR1-4,V01,FCH19249JUB,Yes,10.202.3.17,10.208.80.196,255.255.255.0,10.208.80.1,10.202.3.17,10.119.3.17,,biz.es.svm.com,No,,abscuccmsub01.voice.es.svm.com  Active,abscuccmsub02.voice.es.svm.com  Standby,bbscuccmsub03.voice.es.svm.com,,,,MEM723-A01-AS01-SE.net.svm.com,10.207.80.4,GigabitEthernet3/0/1,,,,"Full, 1000"
B07D47D2B29A,1015975617,CP-8851,sip88xx.12-1-1SR1-4,V01,FCH19249126,Yes,10.202.3.17,10.208.80.13,255.255.255.0,10.208.80.1,10.202.3.17,10.119.3.17,,biz.es.svm.com,No,,abscuccmsub01.voice.es.svm.com  Active,abscuccmsub02.voice.es.svm.com  Standby,bbscuccmsub03.voice.es.svm.com,,,,MEM723-A01-AS01-SE.net.svm.com,10.207.80.4,GigabitEthernet2/0/28,,,,"Full, 1000"
B07D47D3624E,1015978124,CP-8851,sip88xx.12-1-1SR1-4,V01,FCH192596A3,Yes,10.202.3.17,10.208.80.211,255.255.255.0,10.208.80.1,10.202.3.17,10.119.3.17,,biz.es.svm.com,No,,abscuccmsub01.voice.es.svm.com  Active,abscuccmsub02.voice.es.svm.com  Standby,bbscuccmsub03.voice.es.svm.com,,,,MEM723-A01-AS01-SE.net.svm.com,10.207.80.4,GigabitEthernet3/0/30,,,,"Full, 1000"
B07D47D372E6,1015971140,CP-8851,sip88xx.11-0-1-11,V01,FCH1925984K,Yes,10.119.3.17,10.208.80.127,255.255.255.0,10.208.80.1,10.119.3.17,10.202.3.17,,biz.es.svm.com,No,,abscuccmsub01.voice.es.svm.com  Active,abscuccmsub02.voice.es.svm.com  Standby,bbscuccmsub03.voice.es.svm.com,,,,MEM723-A01-AS01-SE.net.svm.com,10.207.80.4,GigabitEthernet4/0/33,,,,"Full, 1000"
B07D47D2AD28,1015978942,CP-8851,sip88xx.12-1-1SR1-4,V01,FCH192490FP,Yes,10.202.3.17,10.208.78.200,255.255.255.0,10.208.78.1,10.202.3.17,10.119.3.17,,biz.es.svm.com,No,,abscuccmsub01.voice.es.svm.com  Active,abscuccmsub02.voice.es.svm.com  Standby,bbscuccmsub03.voice.es.svm.com,,,,MEM712-A01-AS01-N.net.svm.com,10.207.78.4,GigabitEthernet3/0/43,,,,"Full, 1000"
B07D47D36434,1015974244,CP-8851,sip88xx.12-1-1SR1-4,V01,FCH192596H8,Yes,10.202.3.17,10.208.76.58,255.255.255.0,10.208.76.1,10.202.3.17,10.119.3.17,,biz.es.svm.com,No,,abscuccmsub01.voice.es.svm.com  Active,abscuccmsub02.voice.es.svm.com  Standby,bbscuccmsub03.voice.es.svm.com,,,,MEM711-A01-AS01-SW.net.svm.com,10.207.76.4,GigabitEthernet2/0/38,,,,"Full, 1000"
B07D47D2AB10,1015976845,CP-8851,sip88xx.12-1-1SR1-4,V01,FCH1924907T,Yes,10.202.3.17,10.208.80.10,255.255.255.0,10.208.80.1,10.202.3.17,10.119.3.17,,biz.es.svm.com,No,,abscuccmsub01.voice.es.svm.com  Active,abscuccmsub02.voice.es.svm.com  Standby,bbscuccmsub03.voice.es.svm.com,,,,MEM723-A01-AS01-SE.net.svm.com,10.207.80.4,GigabitEthernet2/0/20,,,,"Full, 1000"
00CCFC402BDE,1015976750,CP-8851,sip88xx.12-1-1SR1-4,V01,FCH20108NA5,Yes,10.202.3.17,10.208.78.11,255.255.255.0,10.208.78.1,10.202.3.17,10.119.3.17,,biz.es.svm.com,No,,abscuccmsub01.voice.es.svm.com  Active,abscuccmsub02.voice.es.svm.com  Standby,bbscuccmsub03.voice.es.svm.com,,,,MEM712-A01-AS01-N.net.svm.com,10.207.78.4,GigabitEthernet3/0/32,,,,"Full, 1000"
38ED18FEDEC8,1015977473,CP-8851,sip88xx.12-1-1SR1-4,V01,FCH1933A7Z4,Yes,10.202.3.17,10.208.80.197,255.255.255.0,10.208.80.1,10.202.3.17,10.119.3.17,,biz.es.svm.com,No,,abscuccmsub01.voice.es.svm.com  Active,abscuccmsub02.voice.es.svm.com  Standby,bbscuccmsub03.voice.es.svm.com,,,,MEM723-A01-AS01-SE.net.svm.com,10.207.80.4,GigabitEthernet3/0/9,,,,"Full, 1000"
B07D47D2B44A,1015971230,CP-8851,sip88xx.12-1-1SR1-4,V01,FCH1924918J,Yes,10.202.3.17,10.208.78.122,255.255.255.0,10.208.78.1,10.202.3.17,10.119.3.17,,biz.es.svm.com,No,,abscuccmsub01.voice.es.svm.com  Active,abscuccmsub02.voice.es.svm.com  Standby,bbscuccmsub03.voice.es.svm.com,,,,MEM712-A01-AS01-N.net.svm.com,10.207.78.4,GigabitEthernet4/0/15,,,,"Full, 1000"
B07D47D36952,1015978350,CP-8851,sip88xx.12-1-1SR1-4,V01,FCH1925972H,Yes,10.202.3.17,10.208.78.127,255.255.255.0,10.208.78.1,10.202.3.17,10.119.3.17,,biz.es.svm.com,No,,abscuccmsub01.voice.es.svm.com  Active,abscuccmsub02.voice.es.svm.com  Standby,bbscuccmsub03.voice.es.svm.com,,,,MEM712-A01-AS01-N.net.svm.com,10.207.78.4,GigabitEthernet3/0/7,,,,"Full, 1000"
00CCFC41C57C,1015978580,CP-8851,sip88xx.12-1-1SR1-4,V01,FCH20188FFD,Yes,10.202.3.17,10.208.76.249,255.255.255.0,10.208.76.1,10.202.3.17,10.119.3.17,,biz.es.svm.com,No,,abscuccmsub01.voice.es.svm.com  Active,abscuccmsub02.voice.es.svm.com  Standby,bbscuccmsub03.voice.es.svm.com,,,,MEM711-A01-AS01-SW.net.svm.com,10.207.76.4,GigabitEthernet2/0/14,,,,"Full, 1000"
B07D47D36424,1015974305,CP-8851,sip88xx.12-1-1SR1-4,V01,FCH192596H0,Yes,10.202.3.17,10.208.78.24,255.255.255.0,10.208.78.1,10.202.3.17,10.119.3.17,,biz.es.svm.com,No,,abscuccmsub01.voice.es.svm.com  Active,abscuccmsub02.voice.es.svm.com  Standby,bbscuccmsub03.voice.es.svm.com,,,,MEM712-A01-AS01-N.net.svm.com,10.207.78.4,GigabitEthernet4/0/18,,,,"Full, 1000"
B07D47D32998,1015971275,CP-8851,sip88xx.12-1-1SR1-4,V01,FCH19249KDE,Yes,10.202.3.17,10.208.78.181,255.255.255.0,10.208.78.1,10.202.3.17,10.119.3.17,,biz.es.svm.com,No,,abscuccmsub01.voice.es.svm.com  Active,abscuccmsub02.voice.es.svm.com  Standby,bbscuccmsub03.voice.es.svm.com,,,,MEM712-A01-AS01-N.net.svm.com,10.207.78.4,GigabitEthernet3/0/44,,,,"Full, 1000"
